"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","Question.Text","Question.Type","NA","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Daily Survey 1","","1020","Question 116","Daily Survey 1 ID 10","Item 71","Question","Item 77","How would you evaluate your sleep last night?",3,NA,NA,NA,NA,NA,NA,"Q_116","Slider","numeric",FALSE
"Daily Survey 1","","1021","Question 34","Daily Survey 1 ID 10","Item 72","Question","Item 77","How long do you think you slept last night?",2,NA,NA,NA,NA,NA,NA,"Q_34","Reducing Slider","integer",FALSE
"Daily Survey 1","","1021","Question 34","Daily Survey 1 ID 10","Item 72","Question","Item 77","How long do you think you slept last night?",2,NA,NA,NA,NA,NA,NA,"Q_34","Time Scale Slider","integer",FALSE
"Daily Survey 1","","1021","Question 34","Daily Survey 1 ID 10","Item 72","Question","Item 77","How long do you think you slept last night?",2,NA,NA,NA,NA,NA,NA,"Q_34","Unit Scale Slider","integer",FALSE
"Daily Survey 1","","1022","Question 35","Daily Survey 1 ID 10","Item 73","Question","Item 77","Did you experience pain or discomfort during your night time sleep period?",0,NA,"74","75","2","3",NA,"Q_35","Multiple Choice","integer",FALSE
"Daily Survey 1","","1023","Question 36","Daily Survey 1 ID 10","Item 74","Question","Item 77","Did the pain you experienced last night interfere with your ability to sleep?",0,NA,NA,NA,NA,NA,"73","Q_36","Multiple Choice","integer",FALSE
"Daily Survey 1","","1024","Question 37","Daily Survey 1 ID 10","Item 75","Question","Item 77","End block",21,NA,NA,NA,NA,NA,"73","Q_37","End Block",NA,FALSE
"Daily Survey 1","","1025","Question 38","Daily Survey 1 ID 10","Item 78","Question","Item 79","End block",21,NA,NA,NA,NA,NA,"76","Q_38","End Block",NA,FALSE
"Daily Survey 1","","1026","Question 39","Daily Survey 1 ID 10","Item 80","Question","Daily Survey 1 ID 10","Thank you once again for participating in our study.",6,NA,NA,NA,NA,NA,NA,"Q_39","Informational Fullscreen",NA,FALSE
"Daily Survey 1","","1027","Question 118","Daily Survey 1 ID 10","Item 47","Question","Item 81","The idea of using drugs has intruded upon my thoughts.",3,NA,NA,NA,NA,NA,NA,"Q_118","Slider","numeric",FALSE
"Daily Survey 1","","1028","Question 119","Daily Survey 1 ID 10","Item 48","Question","Item 81","I have missed the feeling drugs can give me.",3,NA,NA,NA,NA,NA,NA,"Q_119","Slider","numeric",FALSE
"Daily Survey 1","","1029","Question 120","Daily Survey 1 ID 10","Item 49","Question","Item 81","I have thought about how satisfying drugs can be.",3,NA,NA,NA,NA,NA,NA,"Q_120","Slider","numeric",FALSE
"Daily Survey 1","","1030","Question 121","Daily Survey 1 ID 10","Item 50","Question","Item 81","I felt as if all the bad things in my life would disappear if I used drugs.",3,NA,NA,NA,NA,NA,NA,"Q_121","Slider","numeric",FALSE
"Daily Survey 1","","1031","Question 122","Daily Survey 1 ID 10","Item 51","Question","Item 81","I felt I would be less worried about my daily problems if I used drugs.",3,NA,NA,NA,NA,NA,NA,"Q_122","Slider","numeric",FALSE
"Daily Survey 1","","1032","Question 123","Daily Survey 1 ID 10","Item 52","Question","Item 81","I felt I would be less tense if I used drugs.",3,NA,NA,NA,NA,NA,NA,"Q_123","Slider","numeric",FALSE
"Daily Survey 1","","1033","Question 124","Daily Survey 1 ID 10","Item 53","Question","Item 81","If I had started using drugs, I WOULD HAVE been able to stop.",3,NA,NA,NA,NA,NA,NA,"Q_124","Slider","numeric",FALSE
"Daily Survey 1","","1034","Question 125","Daily Survey 1 ID 10","Item 54","Question","Item 81","If I were offered drugs, I WOULD HAVE used them.",3,NA,NA,NA,NA,NA,NA,"Q_125","Slider","numeric",FALSE
"Daily Survey 1","","1035","Question 126","Daily Survey 1 ID 10","Item 55","Question","Item 81","If I had used drugs, I could easily limit how much I used.",3,NA,NA,NA,NA,NA,NA,"Q_126","Slider","numeric",FALSE
"Daily Survey 2","","111","Question 44","Daily Survey 2 ID 11","Item 82","Question","Daily Survey 2 ID 11","Thank you for participating in our study. These questions ask about your experiences  since late afternoon.",6,NA,NA,NA,NA,NA,NA,"Q_44","Informational Fullscreen",NA,FALSE
"Daily Survey 2","","112","Question 45","Daily Survey 2 ID 11","Item 83","Question","Daily Survey 2 ID 11","This evening:",6,NA,NA,NA,NA,NA,NA,"Q_45","Informational Fullscreen",NA,FALSE
"Daily Survey 2","","113","Question 136","Daily Survey 2 ID 11","Item 47","Question","Item 84","The idea of using drugs has intruded upon my thoughts.",3,NA,NA,NA,NA,NA,NA,"Q_136","Slider","numeric",FALSE
"Daily Survey 2","","114","Question 137","Daily Survey 2 ID 11","Item 48","Question","Item 84","I have missed the feeling drugs can give me.",3,NA,NA,NA,NA,NA,NA,"Q_137","Slider","numeric",FALSE
"Daily Survey 2","","115","Question 138","Daily Survey 2 ID 11","Item 49","Question","Item 84","I have thought about how satisfying drugs can be.",3,NA,NA,NA,NA,NA,NA,"Q_138","Slider","numeric",FALSE
"Daily Survey 2","","116","Question 139","Daily Survey 2 ID 11","Item 50","Question","Item 84","I felt as if all the bad things in my life would disappear if I used drugs.",3,NA,NA,NA,NA,NA,NA,"Q_139","Slider","numeric",FALSE
"Daily Survey 2","","117","Question 140","Daily Survey 2 ID 11","Item 51","Question","Item 84","I felt I would be less worried about my daily problems if I used drugs.",3,NA,NA,NA,NA,NA,NA,"Q_140","Slider","numeric",FALSE
"Daily Survey 2","","118","Question 141","Daily Survey 2 ID 11","Item 52","Question","Item 84","I felt I would be less tense if I used drugs.",3,NA,NA,NA,NA,NA,NA,"Q_141","Slider","numeric",FALSE
"Daily Survey 2","","119","Question 142","Daily Survey 2 ID 11","Item 53","Question","Item 84","If I had started using drugs, I WOULD HAVE been able to stop.",3,NA,NA,NA,NA,NA,NA,"Q_142","Slider","numeric",FALSE
"Daily Survey 2","","1110","Question 143","Daily Survey 2 ID 11","Item 54","Question","Item 84","If I were offered drugs, I WOULD HAVE used them.",3,NA,NA,NA,NA,NA,NA,"Q_143","Slider","numeric",FALSE
"Daily Survey 2","","1111","Question 144","Daily Survey 2 ID 11","Item 55","Question","Item 84","If I had used drugs, I could easily limit how much I used.",3,NA,NA,NA,NA,NA,NA,"Q_144","Slider","numeric",FALSE
"Daily Survey 2","","1112","Question 145","Daily Survey 2 ID 11","Item 85","Question","Daily Survey 2 ID 11","This evening, to what extent have you felt:",17,NA,NA,NA,NA,NA,NA,"Q_145","Multiple Slider",NA,TRUE
"Daily Survey 2","","1113","Question 146","Daily Survey 2 ID 11","Item 86","Question","Daily Survey 2 ID 11","This evening, to what extent have you felt:",17,NA,NA,NA,NA,NA,NA,"Q_146","Multiple Slider",NA,TRUE
"Daily Survey 2","","1114","Question 147","Daily Survey 2 ID 11","Item 87","Question","Daily Survey 2 ID 11","This evening, to what extent have you felt:",17,NA,NA,NA,NA,NA,NA,"Q_147","Multiple Slider",NA,TRUE
"Daily Survey 2","","1115","Question 148","Daily Survey 2 ID 11","Item 88","Question","Daily Survey 2 ID 11","This evening, to what extent have you experienced WITHDRAWAL symptoms?",3,NA,NA,NA,NA,NA,NA,"Q_148","Slider","numeric",FALSE
"Daily Survey 2","","1116","Question 149","Daily Survey 2 ID 11","Item 89","Question","Daily Survey 2 ID 11","This evening, how FREQUENT were your drug CRAVINGS?",3,NA,NA,NA,NA,NA,NA,"Q_149","Slider","numeric",FALSE
"Daily Survey 2","","1117","Question 150","Daily Survey 2 ID 11","Item 90","Question","Daily Survey 2 ID 11","This evening, how STRONG were your STRONGEST DRUG CRAVINGS?",3,NA,NA,NA,NA,NA,NA,"Q_150","Slider","numeric",FALSE
"Daily Survey 2","","1118","Question 151","Daily Survey 2 ID 11","Item 91","Question","Daily Survey 2 ID 11","This evening, to what extent have you felt:",17,NA,NA,NA,NA,NA,NA,"Q_151","Multiple Slider",NA,TRUE
"Daily Survey 2","","1119","Question 152","Daily Survey 2 ID 11","Item 92","Question","Daily Survey 2 ID 11","This evening:",17,NA,NA,NA,NA,NA,NA,"Q_152","Multiple Slider",NA,TRUE
"Daily Survey 2","","1120","Question 63","Daily Survey 2 ID 11","Item 107","Question","Item 93","The following questions ask about your sleep.",6,NA,NA,NA,NA,NA,NA,"Q_63","Informational Fullscreen",NA,FALSE
"Daily Survey 2","","1121","Question 64","Daily Survey 2 ID 11","Item 76","Question","Item 93","Did you sleep last night?",0,NA,"77","78","1","1",NA,"Q_64","Multiple Choice","integer",FALSE
"Daily Survey 2","","1122","Question 65","Daily Survey 2 ID 11","Item 66","Question","Item 77","What time did you get into bed last night?",1,NA,NA,NA,NA,NA,NA,"Q_65","Time Picker","integer",FALSE
"Daily Survey 2","","1123","Question 66","Daily Survey 2 ID 11","Item 67","Question","Item 77","What time did you get out of bed for the day this morning?",1,NA,NA,NA,NA,NA,NA,"Q_66","Time Picker","integer",FALSE
"Daily Survey 2","","1124","Question 67","Daily Survey 2 ID 11","Item 68","Question","Item 77","How long do you think it took you to fall asleep last night?",0,NA,NA,NA,NA,NA,NA,"Q_67","Multiple Choice","integer",FALSE
"Daily Survey 2","","1125","Question 68","Daily Survey 2 ID 11","Item 69","Question","Item 77","How many times did you wake up last night?",2,NA,NA,NA,NA,NA,NA,"Q_68","Reducing Slider","integer",FALSE
"Daily Survey 2","","1125","Question 68","Daily Survey 2 ID 11","Item 69","Question","Item 77","How many times did you wake up last night?",2,NA,NA,NA,NA,NA,NA,"Q_68","Time Scale Slider","integer",FALSE
"Daily Survey 2","","1125","Question 68","Daily Survey 2 ID 11","Item 69","Question","Item 77","How many times did you wake up last night?",2,NA,NA,NA,NA,NA,NA,"Q_68","Unit Scale Slider","integer",FALSE
"Daily Survey 2","","1126","Question 69","Daily Survey 2 ID 11","Item 70","Question","Item 77","How long do you think you were awake during the night?",2,NA,NA,NA,NA,NA,NA,"Q_69","Reducing Slider","integer",FALSE
"Daily Survey 2","","1126","Question 69","Daily Survey 2 ID 11","Item 70","Question","Item 77","How long do you think you were awake during the night?",2,NA,NA,NA,NA,NA,NA,"Q_69","Time Scale Slider","integer",FALSE
"Daily Survey 2","","1126","Question 69","Daily Survey 2 ID 11","Item 70","Question","Item 77","How long do you think you were awake during the night?",2,NA,NA,NA,NA,NA,NA,"Q_69","Unit Scale Slider","integer",FALSE
"Daily Survey 2","","1127","Question 117","Daily Survey 2 ID 11","Item 71","Question","Item 77","How would you evaluate your sleep last night?",3,NA,NA,NA,NA,NA,NA,"Q_117","Slider","numeric",FALSE
"Daily Survey 2","","1128","Question 71","Daily Survey 2 ID 11","Item 72","Question","Item 77","How long do you think you slept last night?",2,NA,NA,NA,NA,NA,NA,"Q_71","Reducing Slider","integer",FALSE
"Daily Survey 2","","1128","Question 71","Daily Survey 2 ID 11","Item 72","Question","Item 77","How long do you think you slept last night?",2,NA,NA,NA,NA,NA,NA,"Q_71","Time Scale Slider","integer",FALSE
"Daily Survey 2","","1128","Question 71","Daily Survey 2 ID 11","Item 72","Question","Item 77","How long do you think you slept last night?",2,NA,NA,NA,NA,NA,NA,"Q_71","Unit Scale Slider","integer",FALSE
"Daily Survey 2","","1129","Question 72","Daily Survey 2 ID 11","Item 73","Question","Item 77","Did you experience pain or discomfort during your night time sleep period?",0,NA,"74","75","2","3",NA,"Q_72","Multiple Choice","integer",FALSE
"Daily Survey 2","","1130","Question 73","Daily Survey 2 ID 11","Item 74","Question","Item 77","Did the pain you experienced last night interfere with your ability to sleep?",0,NA,NA,NA,NA,NA,"73","Q_73","Multiple Choice","integer",FALSE
"Daily Survey 2","","1131","Question 74","Daily Survey 2 ID 11","Item 75","Question","Item 77","End block",21,NA,NA,NA,NA,NA,"73","Q_74","End Block",NA,FALSE
"Daily Survey 2","","1132","Question 75","Daily Survey 2 ID 11","Item 78","Question","Item 93","End block",21,NA,NA,NA,NA,NA,"76","Q_75","End Block",NA,FALSE
"Daily Survey 2","","1133","Question 76","Daily Survey 2 ID 11","Item 94","Question","Daily Survey 2 ID 11","These questions ask about your entire day.",6,NA,NA,NA,NA,NA,NA,"Q_76","Informational Fullscreen",NA,FALSE
"Daily Survey 2","","1134","Question 153","Daily Survey 2 ID 11","Item 95","Question","Daily Survey 2 ID 11","Indicate the average intensity of pain (if any) you experienced today.",3,NA,NA,NA,NA,NA,NA,"Q_153","Slider","numeric",FALSE
"Daily Survey 2","","1135","Question 154","Daily Survey 2 ID 11","Item 96","Question","Daily Survey 2 ID 11","Indicate the average amount of discomfort (if any) you experienced today.",3,NA,NA,NA,NA,NA,NA,"Q_154","Slider","numeric",FALSE
