"Survey.Name","Group","Survey.ID","Question.ID","Survey","Item.ID","Item.Type","Parent","NA","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Morning Survey","","31328","Question 4831","Morning Survey ID 313","Item 5046","Question","Item 5048",NA,"Do you have any other incidents to report?",0,NA,NA,NA,NA,"7218","Q_4831","Multiple Choice","integer",FALSE
"Morning Survey","","31329","Question 4832","Morning Survey ID 313","Item 5049","Question","Item 5021",NA,"End Block",21,NA,NA,NA,NA,"5047","Q_4832","End Block",NA,FALSE
"Morning Survey","","31330","Question 4868","Morning Survey ID 313","Item 5068","Question","Item 5069",NA,"Thank you for answering your survey questions! Now it is time to play some brain games!",6,NA,NA,NA,NA,NA,"Q_4868","Informational Fullscreen",NA,FALSE
"Morning Survey","","31331","Question 4960","Morning Survey ID 313","Item 5146","Question","Item 5069",NA,"Get ready for the next brain game. Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4960","Cognitive Test","other",FALSE
"Morning Survey","","31332","Question 4961","Morning Survey ID 313","Item 5145","Question","Item 5069",NA,"Thank you for completing the brain games! Tap the arrow button to continue.",27,NA,NA,NA,NA,NA,"Q_4961","Cognitive Test","other",FALSE
"Beeped Survey 1","","3141","Question 4745","Beeped Survey 1 ID 314","Item 4985","Question","Item 5029",NA,"Where are you?",0,NA,NA,NA,NA,NA,"Q_4745","Multiple Choice","integer",FALSE
"Beeped Survey 1","","3142","Question 4746","Beeped Survey 1 ID 314","Item 4970","Question","Item 5029",NA,"These next few questions will ask you about how you feel <b>RIGHT NOW</b>.",6,NA,NA,NA,NA,NA,"Q_4746","Informational Fullscreen",NA,FALSE
"Beeped Survey 1","","3143","Question 5177","Beeped Survey 1 ID 314","Item 5011","Question","Item 5029",NA,"<b>RIGHT NOW</b>...<br>How much <b>PHYSICAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5177","Slider","numeric",FALSE
"Beeped Survey 1","","3144","Question 5178","Beeped Survey 1 ID 314","Item 5010","Question","Item 5029",NA,"<b>RIGHT NOW</b>...<br>How much <b>MENTAL</b> fatigue do you have?",3,NA,NA,NA,NA,NA,"Q_5178","Slider","numeric",FALSE
"Beeped Survey 1","","3145","Question 5179","Beeped Survey 1 ID 314","Item 4974","Question","Item 5029",NA,"<b>RIGHT NOW</b>...<br>How much pain do you have?",3,NA,NA,NA,NA,NA,"Q_5179","Slider","numeric",FALSE
"Beeped Survey 1","","3146","Question 5180","Beeped Survey 1 ID 314","Item 4973","Question","Item 5029",NA,"<b>RIGHT NOW</b>...<br>How would you rate your ability to remember?",3,NA,NA,NA,NA,NA,"Q_5180","Slider","numeric",FALSE
"Beeped Survey 1","","3147","Question 5181","Beeped Survey 1 ID 314","Item 4972","Question","Item 5029",NA,"<b>RIGHT NOW</b>...<br>How foggy is your thinking?",3,NA,NA,NA,NA,NA,"Q_5181","Slider","numeric",FALSE
"Beeped Survey 1","","3148","Question 5182","Beeped Survey 1 ID 314","Item 4971","Question","Item 5029",NA,"<b>RIGHT NOW</b>...<br>How slow is your thinking?",3,NA,NA,NA,NA,NA,"Q_5182","Slider","numeric",FALSE
"Beeped Survey 1","","3149","Question 4753","Beeped Survey 1 ID 314","Item 4978","Question","Item 5029",NA,"<b>RIGHT NOW</b>, I feel sad.",0,NA,NA,NA,NA,NA,"Q_4753","Multiple Choice","integer",FALSE
"Beeped Survey 1","","31410","Question 4754","Beeped Survey 1 ID 314","Item 4979","Question","Item 5029",NA,"<b>RIGHT NOW</b>, I feel hopeless.",0,NA,NA,NA,NA,NA,"Q_4754","Multiple Choice","integer",FALSE
"Beeped Survey 1","","31411","Question 4755","Beeped Survey 1 ID 314","Item 4980","Question","Item 5029",NA,"<b>RIGHT NOW</b>, I feel discouraged.",0,NA,NA,NA,NA,NA,"Q_4755","Multiple Choice","integer",FALSE
"Beeped Survey 1","","31412","Question 5183","Beeped Survey 1 ID 314","Item 4977","Question","Item 5029",NA,"How would you rate your current amount of stress?",3,NA,NA,NA,NA,NA,"Q_5183","Slider","numeric",FALSE
"Beeped Survey 1","","31413","Question 4935","Beeped Survey 1 ID 314","Item 5028","Question","Item 5029",NA,"Since the last assessment, did you consume (check all that apply):",7,NA,NA,NA,NA,NA,"Q_4935","Multiple Select","integer",TRUE
"Beeped Survey 1","","31414","Question 4762","Beeped Survey 1 ID 314","Item 4986","Question","Item 5030",NA,"During the brain games, were you distracted by anything in your environment?",0,"5027","4988","2","1",NA,"Q_4762","Multiple Choice","integer",FALSE
"Beeped Survey 1","","31415","Question 4766","Beeped Survey 1 ID 314","Item 5027","Question","Item 5030",NA,"Please check all applicable distractions.",7,NA,NA,NA,NA,"4986","Q_4766","Multiple Select","integer",TRUE
"Beeped Survey 1","","31416","Question 4764","Beeped Survey 1 ID 314","Item 4988","Question","Item 5030",NA,"Thank you for completing your survey and brain games!",6,NA,NA,NA,NA,"4986","Q_4764","Informational Fullscreen",NA,FALSE
